Date and time of start of the trip,Coordinate of start of the trip,Coordinate of end of the trip,Length of the trip,Weather,Time in a day,Day of the week,Demand,Cost,start_lat,start_lon,end_lat,end_lon
2024-11-11 23:55:20,"(59.937390, 30.360035)","(59.804680, 30.279073)",15.51680328281609,cloudy,evening,Saturday,-0.2103783874459287,896.2561607514962,59.9373897289235,30.36003478429467,59.80468001511926,30.279073318422785
2024-11-03 03:15:55,"(59.930425, 30.358578)","(59.924898, 30.353040)",0.8516902619384852,cloudy,night,Friday,-0.0835275972295702,339.14405951013805,59.93042508878067,30.358577690552536,59.92489830520938,30.35304034617453
2024-11-15 10:32:41,"(59.942846, 30.299823)","(59.793490, 30.249374)",19.25830479016321,sunny,morning,Wednesday,-0.0725077504951662,1013.9557084388516,59.94284590432539,30.299822546084314,59.79349032829864,30.2493735312401
2024-11-26 10:16:48,"(59.935855, 30.304162)","(59.806697, 30.277012)",15.040192131762945,snow,morning,Sunday,-0.5909493568820988,960.604226641985,59.93585461880856,30.304162194706336,59.80669720828581,30.27701185147599
2024-11-30 05:40:54,"(59.971625, 30.307775)","(59.929293, 30.356130)",6.39671287199955,cloudy,night,Thursday,-0.065994579992976,511.3587280967959,59.97162471015416,30.30777486539357,59.929292587213496,30.356130414915548
2024-11-09 03:49:08,"(59.941769, 30.307694)","(60.010576, 30.383489)",10.823640613471031,rain,night,Thursday,-0.0898617744369635,681.6780338411469,59.94176933951261,30.30769356904608,60.01057606108526,30.383489321550496
2024-11-02 11:25:04,"(60.006938, 30.372440)","(59.967832, 30.310193)",5.801854551591732,rain,morning,Thursday,-0.0866203153514433,491.1804468996589,60.00693766760656,30.37244025419844,59.967831719636855,30.31019292553435
2024-11-03 00:06:38,"(59.849922, 30.285733)","(59.966309, 30.328331)",14.737530251484142,sunny,night,Friday,-0.0605693632652734,816.139131483129,59.84992171399299,30.285732671802503,59.96630870628344,30.328331472642017
2024-11-18 01:17:41,"(59.974268, 30.310610)","(59.996327, 30.379304)",4.892034186775303,cloudy,night,Saturday,-0.1387177192699247,472.8616136397477,59.97426801023264,30.310609549486635,59.99632708338868,30.379303623110307
2024-11-06 06:38:28,"(59.808626, 30.256772)","(59.926694, 30.348328)",15.508341797590168,cloudy,morning,Monday,-0.0657499481972013,814.8069932040007,59.80862622152903,30.256771979555207,59.92669350758948,30.348328456867417
2024-11-20 00:21:15,"(59.938056, 30.358042)","(59.792441, 30.260451)",19.707245269656784,cloudy,night,Monday,-0.082743809845453,997.3223258414936,59.93805645307442,30.35804209531205,59.79244072286793,30.260451419852814
2024-11-25 22:06:13,"(59.935792, 30.373776)","(59.784677, 30.260901)",20.940798596894844,cloudy,evening,Saturday,-0.1828823480088087,1063.7349136475214,59.935792395764544,30.37377633410794,59.78467660285942,30.26090060721576
